100,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000
75,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#00ffff,#00ffff
75,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#00ffff,#00ffff,#3c78d8,#3c78d8
75,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#00ffff,#00ffff,#3c78d8,#3c78d8,#000000,#000000
75,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#00ffff,#00ffff,#3c78d8,#3c78d8,#000000,#000000,#000000,#000000
75,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#00ffff,#00ffff,#3c78d8,#3c78d8,#000000,#000000,#000000,#000000,#000000,#000000
75,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#00ffff,#00ffff,#3c78d8,#3c78d8,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000
50,#000000,#000000,#000000,#000000,#000000,#000000,#00ffff,#00ffff,#3c78d8,#3c78d8,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000
50,#000000,#000000,#000000,#000000,#00ffff,#00ffff,#3c78d8,#3c78d8,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000
50,#000000,#000000,#00ffff,#00ffff,#3c78d8,#3c78d8,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000
50,#00ffff,#00ffff,#3c78d8,#3c78d8,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000
150,#3c78d8,#3c78d8,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000
